Project,Package,Module,Class,Smell,Method,Line no,File,Description
group02,group02.backend.routes,notification_routes,,Long statement,,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\notification_routes.py,A line with 290 chars in notification_routes exceeds the maximum length of 120 characters.
group02,group02.backend.routes,notification_routes,,Magic number,get_notifications,28,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\notification_routes.py,Magic number 404 used in get_notifications.
group02,group02.backend.routes,notification_routes,,Magic number,get_notifications,34,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\notification_routes.py,Magic number 500 used in get_notifications.
group02,group02.backend.routes,notification_routes,,Magic number,create_notification,56,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\notification_routes.py,Magic number 201 used in create_notification.
group02,group02.backend.routes,notification_routes,,Magic number,create_notification,59,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\notification_routes.py,Magic number 500 used in create_notification.
group02,group02.backend.routes,notification_routes,,Magic number,create_notification,50,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\notification_routes.py,Magic number 400 used in create_notification.
group02,group02.backend.routes,questiontag_routes,,Empty catch block,get_tags_for_question,35,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,Empty catch block found in get_tags_for_question.
group02,group02.backend.routes,questiontag_routes,,Empty catch block,get_questions_for_tag,58,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,Empty catch block found in get_questions_for_tag.
group02,group02.backend.routes,questiontag_routes,,Long statement,get_tags_for_question,25,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,A line with 133 chars in get_tags_for_question exceeds the maximum length of 120 characters.
group02,group02.backend.routes,questiontag_routes,,Long statement,get_questions_for_tag,47,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,A line with 143 chars in get_questions_for_tag exceeds the maximum length of 120 characters.
group02,group02.backend.routes,questiontag_routes,,Long statement,get_questions_for_tag,52,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,A line with 131 chars in get_questions_for_tag exceeds the maximum length of 120 characters.
group02,group02.backend.routes,questiontag_routes,,Long statement,,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,A line with 234 chars in questiontag_routes exceeds the maximum length of 120 characters.
group02,group02.backend.routes,questiontag_routes,,Magic number,get_tags_for_question,33,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,Magic number 200 used in get_tags_for_question.
group02,group02.backend.routes,questiontag_routes,,Magic number,get_tags_for_question,22,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,Magic number 404 used in get_tags_for_question.
group02,group02.backend.routes,questiontag_routes,,Magic number,get_tags_for_question,36,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,Magic number 500 used in get_tags_for_question.
group02,group02.backend.routes,questiontag_routes,,Magic number,get_questions_for_tag,56,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,Magic number 200 used in get_questions_for_tag.
group02,group02.backend.routes,questiontag_routes,,Magic number,get_questions_for_tag,44,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,Magic number 404 used in get_questions_for_tag.
group02,group02.backend.routes,questiontag_routes,,Magic number,get_questions_for_tag,59,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\questiontag_routes.py,Magic number 500 used in get_questions_for_tag.
